bigram,count,sem,mean,std,skew,kurtosis
ji,55,0.0309489028611,0.251363636364,0.229523206576,3.09613993858,9.90399264128
jj,30,0.0195041050793,0.1762,0.106828383159,3.18756313815,9.02022422684
jk,47,0.0166288774081,0.0895957475622,0.114001839902,1.65710461853,2.40284344439
jo,488,0.00609159018045,0.21445491654,0.134567625424,4.14866710726,27.895621967
js,69,0.0180272898206,0.148884057971,0.149745915807,3.45171755224,15.2328022157
ju,632,0.00800683305591,0.212800632619,0.201288661801,9.88442688083,114.663711708
ka,172,0.0106752816073,0.180587210023,0.140005005739,4.6104149828,28.5446137471
kd,74,0.0300448078303,0.182797297787,0.258455209542,5.93076218391,41.492134521
ke,3387,0.0026502464759,0.164475642169,0.154238880375,9.84398670913,194.896303617
kf,140,0.0190301920225,0.246078571429,0.225168268586,2.11774752532,7.96388329525
kh,35,0.0353635877328,0.206371428571,0.209213806444,2.68719492423,8.41885868234
ki,1023,0.00400113395304,0.212501465662,0.127973753509,7.62506916564,75.6702266291
kj,69,0.0109447767969,0.07536231486,0.0909141441157,2.37175426524,7.07866246335
kn,512,0.00675678754366,0.183890625,0.152888649317,5.87784609386,47.4830904771
kr,48,0.0296706767687,0.312604166667,0.205564478634,1.61783043814,2.86704383463
ks,483,0.00994810133325,0.205973080866,0.218632019215,8.3323718325,107.463861991
ky,85,0.0205385733171,0.327870588235,0.189356289787,3.31447583809,13.9619094359
la,2568,0.0046100266596,0.172339564468,0.233615119417,20.8248659138,639.790520018
lc,53,0.0218494958984,0.314924528302,0.159066731166,1.24190553506,2.76846973905
ld,1407,0.00405358068366,0.175619757684,0.152049806041,5.72233086899,59.2875747009
le,4191,0.00199615829494,0.164749224547,0.129227162432,5.48799080703,55.4081769141
lf,285,0.0186568538827,0.258164912281,0.314963944109,6.556097473,60.9956427936
li,3844,0.00269667196281,0.19907232037,0.167193661694,12.0355264613,236.007893057
lk,343,0.0100507202807,0.196419825835,0.186141944518,3.54359185867,18.8937478457
ll,5370,0.00106153787901,0.162912476526,0.0777897970835,11.5432768827,201.778111444
lm,153,0.0192488338428,0.322575163212,0.238094925311,4.05955345308,26.4820681877
ln,34,0.045406491848,0.397823529412,0.264763069679,2.06641256789,4.66393549448
lo,2231,0.00246155528029,0.214691169236,0.116267779551,7.93263678786,93.063354229
lp,160,0.0113282818336,0.243900005472,0.143292690281,3.26578026186,16.3062701534
lr,72,0.0220053520474,0.258833335241,0.186721603862,1.82407142283,3.56957268067
ls,1028,0.00775800955926,0.223105058366,0.248740708905,6.72276529408,73.5516052596
lt,395,0.0112231178913,0.273546835095,0.223055056444,2.95444786382,11.6878989902
lu,435,0.00636592512393,0.256388506282,0.132771895246,2.28784107818,7.9843289571
lv,88,0.0282794772616,0.340977272727,0.265285011655,2.11752064422,6.11467712962
lw,172,0.0471513068554,0.348360465116,0.61838359209,7.71731104393,71.4638796888
ly,2775,0.00295458159291,0.231541981982,0.155642243237,4.60858868005,39.3865170111
ma,2313,0.00247364972722,0.164411154483,0.118966865541,5.99808327662,57.5500600821
mb,305,0.0144740295874,0.319327868852,0.252778059593,4.18290816567,31.8156116324
me,5045,0.00182637921944,0.150583547904,0.129724361681,9.22054842667,183.793996464
mi,1738,0.00331399693195,0.214266398425,0.138158302341,7.98171592275,108.946725295
mm,310,0.0190601697229,0.216609676909,0.335588917663,9.51151682166,104.431246014
mn,73,0.0253065296034,0.208575342466,0.216219083712,2.54814485313,9.94880456279
mo,2939,0.0041619772617,0.202698877529,0.225631378231,24.1334962006,815.293925813
mp,538,0.00808354152167,0.254221189591,0.187496347219,5.03040248675,38.0591795286
ms,602,0.00841354935683,0.244299002758,0.206432224455,3.94519852024,24.2361341396
mu,583,0.00467154378197,0.252761578045,0.11279626023,7.39809481981,92.6166254733
my,2558,0.00348172329357,0.268674745726,0.176093985598,6.09981122902,62.8009214427
na,1323,0.00558935080977,0.171113378843,0.203301831261,16.9925897647,435.685337059
nb,59,0.0318147057988,0.208457630513,0.244373392166,1.58754264438,2.37153879097
nc,1383,0.00473626668332,0.220438900732,0.176135638524,4.2186674727,29.31105271
nd,10519,0.00166919663903,0.169789048387,0.171196439912,7.68320769434,112.644424396
ne,4136,0.0035669562215,0.183652321235,0.229397163831,21.5274399564,799.669112389
nf,265,0.0174710503012,0.2862,0.284408093479,4.74939309328,28.4241322648
ng,6519,0.00196014878518,0.170320601319,0.15826304898,7.95456283783,138.574666714
nh,62,0.0360129856912,0.380387097359,0.283566532899,1.78592901719,3.9492189995
ni,1722,0.0076349898835,0.223373402333,0.316829082373,14.4651526955,261.72875865
nj,150,0.0189383399263,0.369113333333,0.231946346974,1.66896859933,3.89642003337
nk,731,0.00629937729013,0.201021887037,0.170316337302,6.13519869353,63.2280826281
nl,296,0.0159954750869,0.254885135135,0.275196558996,6.6902919962,57.7379781397
nm,112,0.0275021029445,0.301767857143,0.291054899689,2.98536904769,12.460618139
nn,719,0.00644819556313,0.182461751179,0.172903046557,9.20527627061,112.859678613
no,3752,0.00217987282537,0.196083688935,0.133524995587,6.29615964879,96.8337207518
nr,50,0.0225060026189,0.285900005493,0.159141470692,0.810269003709,0.346219357387
ns,1068,0.00744863825274,0.255732209468,0.243423503845,4.29311016925,27.2131325189
nt,4677,0.00311775716962,0.200138122782,0.213219034067,12.0140851665,246.241771949
nu,359,0.0104053315573,0.24750696238,0.197152889935,5.61349427523,42.9195318632
nv,131,0.0226182437971,0.32358778626,0.258877632817,3.9670894556,20.5807250461
ny,757,0.00580316518692,0.255825627477,0.159666157101,9.17368480843,146.319604609
oa,300,0.030362381711,0.267789999542,0.525891877622,8.29593090958,78.8354858448
ob,424,0.0208689425683,0.356011793393,0.429717828233,11.3355174468,175.676546089
oc,480,0.0102249166174,0.265339583333,0.224016699198,4.87525518319,44.8128506064
od,1521,0.00505587019311,0.220873108663,0.197178937531,3.39765093265,15.7324249304
oe,449,0.0149014454564,0.238832962062,0.315755968169,7.56976977506,78.8610331099
of,3687,0.002817148096,0.180626254407,0.171059125324,7.13014350473,87.9934778164
og,380,0.0156651914766,0.332134210014,0.305370799389,3.52047732338,18.7018496556
oh,180,0.0291116540428,0.313622222625,0.390573824262,6.8396964404,63.57035769
oi,996,0.00523582082187,0.165536143964,0.165239717986,5.98659890212,54.5115382661
oj,107,0.0282368941011,0.407813084112,0.292084703754,1.21531774754,1.52726373229
ok,915,0.00554116627847,0.233970492341,0.167614555481,4.18242341556,25.2459530325
ol,1489,0.00495388563715,0.240775688837,0.191158372945,7.55052842691,77.663889649
om,3090,0.00286710192254,0.21211909387,0.15937579776,5.66574745649,56.5433348583
on,7100,0.0016281476787,0.197629014342,0.137190161936,6.11531654632,70.488839528
oo,2878,0.00284775253852,0.177222029179,0.15277336427,13.8681804723,302.190924374
op,1392,0.00383760669895,0.199494252897,0.143179249351,5.05406141618,41.9326663397
or,6628,0.00205103917124,0.180373868216,0.166980287543,7.48506171619,120.779878581
os,1305,0.00456957975642,0.202023755555,0.165075080467,4.17078464717,28.4608252317
ot,4214,0.00225524903297,0.184279781619,0.146400234008,5.12776139447,48.6993002368
ou,9369,0.0012490172289,0.157771800599,0.120896867589,5.99039205834,66.6162718635
ov,1248,0.00579165522249,0.245439101968,0.204602055781,3.68370336185,23.4558693125
ow,2510,0.00340220977089,0.199043027339,0.170450369979,3.48843861557,19.5495207189
ox,38,0.0171999028684,0.252131578947,0.106027322091,0.866436624127,0.0172128631145
oy,307,0.0111200060788,0.28031596103,0.194838246512,3.33355717052,16.5325535864
pa,1631,0.00361410977005,0.168843654311,0.145958139753,4.81658375478,31.4594853348
pe,2680,0.00269284445753,0.186440671505,0.139405101091,4.37989000131,30.2176020991
